Test,n,"30","17","12"
MMSE (estándar),59,27.1 (2.28),28.24 (1.44),28.75 (1.29)
FVS (estándar),59,15.83 (5.77),16.47 (5.16),16.67 (6.2)
BNT (estándar),59,12.4 (1.98),13.65 (1.54),12.83 (2.29)
LP-A (estándar),59,10.5 (3.41),14.12 (3.94),14.08 (3.58)
LP-RD (estándar),59,2.63 (2.01),4.06 (2.56),3.75 (2.18)
LP-R (estándar),59,7.87 (2.3),8.65 (1.11),8.75 (2.3)
PRX-C (estándar),59,7.6 (1.38),7.82 (1.51),9.08 (1.38)
PRX-E (estándar),59,3.77 (2.66),5.06 (2.63),5.92 (2.43)
TMT-A-time (estándar),59,163.67 (125.93),99.59 (51.65),103.92 (81.52)
TMT-A (estándar),59,24.07 (1.41),24.29 (1.31),24.33 (0.78)
FVF-F (estándar),59,6.37 (3.23),9.53 (4.02),10 (4.26)
FVF-A (estándar),59,7.2 (3.38),8.88 (3.57),12 (4.09)
FVF-S (estándar),59,7.93 (3.5),9.18 (3.4),10.58 (5.6)
RVN (estándar),59,7.67 (1.69),8.82 (1.19),9.42 (1.83)
MWCST-CTG (estándar),59,1.6 (1.4),1.71 (1.21),1.33 (1.3)
MWCST-P (estándar),59,24.13 (9.74),25.53 (12.56),23.17 (15.11)
MWCST-A (estándar),59,14.63 (8.53),14.76 (8.84),14.67 (9.84)
MIS-LECTURA (estándar),59,4 (0),4 (0),4 (0)
MIS-IDENT (estándar),59,3.97 (0.18),3.94 (0.24),4 (0)
CLV (estándar),59,14.57 (8.66),22.88 (7.87),25.83 (16.04)
MIS (estándar),59,5.37 (1.99),6.12 (1.65),6.42 (1.44)
MCT-L1 (estándar),59,12.53 (2.57),14.71 (1.99),14.75 (2.09)
MCT-L2 (estándar),59,8.53 (3.27),10 (2.98),11.92 (2.87)
MCT-L1&2 (estándar),59,20.43 (5.76),23.82 (5.73),26 (4.51)
MCT-RL (estándar),59,9.27 (6.04),11 (6.44),13.33 (4.7)
DIG-PROG (estándar),59,4.63 (0.76),4.88 (0.7),5 (1.13)
DIG-REGR (estándar),59,2.9 (0.76),3.35 (0.7),3.58 (1.24)
STROOP1-time (estándar),59,28.6 (12.84),19.53 (2.81),19.75 (6.44)
STROOP1 (estándar),59,35.93 (0.25),35.94 (0.24),35.25 (2.6)
STROOP2-time (estándar),59,36.5 (12.4),29 (5.57),30.83 (11.23)
STROOP2 (estándar),59,32.7 (4.86),33.82 (2.56),34.67 (1.78)
STROOP3-time (estándar),59,72.63 (28.08),65.76 (25.92),62.33 (25.43)
STROOP3 (estándar),59,24.57 (10.24),26.53 (10.91),30.08 (8.15)

