Test,n,"58","31","20"
MMSE (estándar),109,27.88 (1.83),29 (1.03),29.1 (0.91)
FVS (estándar),109,17.17 (4.36),19.1 (4.25),22.7 (5.21)
BNT (estándar),109,13.16 (1.45),13.71 (1.22),14.05 (0.76)
LP-A (estándar),109,14.24 (3.41),15.35 (3.95),16.85 (4.55)
LP-RD (estándar),109,4.66 (1.82),4.65 (1.98),6.35 (1.84)
LP-R (estándar),109,8.52 (1.71),8.39 (1.69),9.75 (0.44)
PRX-C (estándar),109,7.59 (2.05),8.1 (1.49),9.3 (1.3)
PRX-E (estándar),109,5.88 (2.64),6.94 (2.24),8.2 (2.14)
TMT-A-time (estándar),109,111.67 (47.24),74.52 (31.85),63.55 (34.91)
TMT-A (estándar),109,24.09 (1.35),24.71 (0.97),24.85 (0.37)
FVF-F (estándar),109,7.5 (3.58),10.1 (3.12),11.95 (3.71)
FVF-A (estándar),109,7.55 (3.2),9.81 (3.49),12.1 (2.94)
FVF-S (estándar),109,7.57 (3.34),10.97 (3.89),13.4 (3.8)
RVN (estándar),109,7.43 (2.41),8.68 (2.12),9.15 (1.57)
MWCST-CTG (estándar),109,1.43 (1.26),2.06 (1.34),2.35 (1.23)
MWCST-P (estándar),109,25.81 (10.73),20.55 (9.51),16 (5.76)
MWCST-A (estándar),109,12.97 (7.78),19.74 (9.37),21.9 (6.62)
MIS-LECTURA (estándar),109,3.97 (0.26),4 (0),3.95 (0.22)
MIS-IDENT (estándar),109,3.98 (0.13),4 (0),4 (0)
CLV (estándar),109,19.97 (9.16),30.84 (11.6),41.5 (16.92)
MIS (estándar),109,6.57 (1.27),6.9 (1.16),6.95 (1.1)
MCT-L1 (estándar),109,14.02 (2.18),14.39 (2.8),15.65 (0.59)
MCT-L2 (estándar),109,10.59 (3.14),11.52 (3.2),13.35 (2.28)
MCT-L1&2 (estándar),109,24.07 (5.36),26.45 (3.08),29.35 (2.13)
MCT-RL (estándar),109,14.05 (5.47),15.23 (4.69),19.5 (4.56)
DIG-PROG (estándar),109,4.69 (1.01),5.26 (0.86),5.3 (0.57)
DIG-REGR (estándar),109,3.1 (0.83),3.61 (0.84),3.7 (0.86)
STROOP1-time (estándar),109,21.57 (4.93),20.06 (6.02),16.8 (3.9)
STROOP1 (estándar),109,36 (0),35.94 (0.25),35.85 (0.49)
STROOP2-time (estándar),109,28.4 (7.28),25.55 (5.86),21.8 (4.79)
STROOP2 (estándar),109,34.67 (2.2),35.74 (0.58),34.9 (2.81)
STROOP3-time (estándar),109,58.79 (17.07),55.42 (17.67),45.05 (22.17)
STROOP3 (estándar),109,25.97 (11.53),31.55 (8.15),33.3 (5.1)

