Test,n,"32","33","32"
MMSE (estándar),97,27.09 (3.07),28.82 (1.31),29.28 (0.81)
FVS (estándar),97,16.94 (4.19),21.15 (5.09),25.84 (6.75)
BNT (estándar),97,13.62 (1.29),13.85 (1.06),14.66 (0.6)
LP-A (estándar),97,15.75 (4.67),18.3 (3.53),20.78 (3.66)
LP-RD (estándar),97,6.34 (1.7),7.09 (1.68),8.03 (1.58)
LP-R (estándar),97,9.66 (0.6),9.76 (0.56),9.94 (0.25)
PRX-C (estándar),97,8.28 (1.76),9.82 (1.01),10.16 (1.11)
PRX-E (estándar),97,7.81 (1.77),9.39 (1.34),9.72 (1.28)
TMT-A-time (estándar),97,58.6 (22.27),46.81 (17.43),35.62 (17.45)
RCOF-C-time (estándar),97,132.75 (52.4),114.21 (33.44),90.06 (28.79)
ROCF-C (estándar),97,28.62 (6.61),31.85 (3.34),32.23 (3.41)
ROCF-IR-time (estándar),97,120.03 (69.87),108.52 (41.52),81.28 (23.73)
ROCF-IR (estándar),97,16.55 (7.84),21.3 (4.88),25.17 (5.38)
FVF-F (estándar),97,8.03 (4.05),11.12 (3.19),14.28 (3.55)
FVF-A (estándar),97,8.56 (3.95),11.21 (3.08),14.94 (3.17)
FVF-S (estándar),97,7.91 (3.56),11.15 (3.85),14.16 (3.53)
RVN (estándar),97,8.91 (1.8),9.55 (1.18),10.56 (1.13)
MWCST-A (estándar),97,20.84 (7.19),25 (7.71),29.91 (8.08)
MWCDT-E (estándar),97,27.03 (7.11),22.64 (7.46),18.12 (8.06)
MWCST-CTG (estándar),97,2.34 (1.18),3.15 (1.3),4 (1.65)
MWCST-P (estándar),97,13.44 (6.48),13 (4.73),8.75 (3.86)
MIS (estándar),97,7.03 (1.33),7.36 (0.82),7.53 (1.46)
CLV (estándar),97,42.66 (12.43),60.39 (13.97),76.56 (13.9)
MCT-L1 (estándar),97,14.09 (2.23),15.24 (0.94),15.69 (0.54)
MCT-L2 (estándar),97,11.62 (4),13.52 (2.15),15.25 (0.92)
MCT-L1&2 (estándar),97,26.31 (4.63),29.52 (2.74),30.94 (1.52)
MCT-RL (estándar),97,18.97 (5.36),21.33 (5.04),23.78 (4.11)


