Test,n,"58","50","36"
MMSE (estándar),144,28.17 (2.19),29.04 (1.4),29.28 (0.78)
FVS (estándar),144,19.31 (4.91),20.46 (4.49),23.83 (4.66)
BNT (estándar),144,13.52 (1.43),14.16 (0.91),14.61 (0.55)
LP-A (estándar),144,14.81 (3.93),16.76 (3.88),19.39 (3.32)
LP-RD (estándar),144,5 (2),6.02 (1.88),7.03 (1.78)
LP-R (estándar),144,8.91 (1.92),9.42 (0.88),9.69 (0.67)
PRX-C (estándar),144,8.52 (1.7),8.6 (1.55),9.44 (1.32)
PRX-E (estándar),144,7.24 (2.31),7.42 (2.22),9.11 (1.69)
TMT-A-time (estándar),144,81.67 (59.21),61.04 (33.39),53.83 (18.6)
TMT-A (estándar),144,23.97 (1.9),24.7 (0.58),24.81 (0.4)
FVF-F (estándar),144,8.66 (3.65),10.9 (3.6),13.44 (4.13)
FVF-A (estándar),144,8.79 (3.64),10.34 (3.76),13.81 (4.55)
FVF-S (estándar),144,9.55 (3.26),10.68 (4.12),13.86 (4)
RVN (estándar),144,8.38 (1.95),8.76 (1.86),10.78 (0.99)
MWCST-CTG (estándar),144,2.1 (1.33),2.38 (1.48),3.67 (1.69)
MWCST-P (estándar),144,21.67 (10.47),18.24 (7.44),12.92 (7.43)
MWCST-A (estándar),144,18.55 (9.42),19.72 (8.3),27.42 (9.54)
MIS-LECTURA (estándar),144,3.98 (0.13),4 (0),4 (0)
MIS-IDENT (estándar),144,4 (0),4 (0),4 (0)
CLV (estándar),144,29.71 (12.37),37.58 (12.52),47.81 (11.05)
MIS (estándar),144,6.97 (1.24),6.92 (1.35),7.11 (0.85)
MCT-L1 (estándar),144,14.24 (2.1),15.42 (0.81),15.81 (0.4)
MCT-L2 (estándar),144,10.67 (3.42),12.8 (2.51),14.08 (1.86)
MCT-L1&2 (estándar),144,24.74 (6.19),28.08 (4.04),29.78 (2.13)
MCT-RL (estándar),144,15.88 (5.85),19.3 (5.73),20.58 (5.03)
DIG-PROG (estándar),144,4.72 (0.91),5.32 (0.98),5.67 (1.2)
DIG-REGR (estándar),144,3.09 (0.76),3.48 (0.84),3.89 (1.06)
STROOP1-time (estándar),144,21.12 (8.06),18.5 (3.91),17.53 (3.45)
STROOP1 (estándar),144,35.9 (0.41),35.88 (0.39),35.97 (0.17)
STROOP2-time (estándar),144,25.9 (6.22),22.6 (3.63),22.17 (4.23)
STROOP2 (estándar),144,35.55 (1.19),35.72 (0.57),35.75 (0.65)
STROOP3-time (estándar),144,50.79 (13.58),47.1 (19.2),39.64 (9.52)
STROOP3 (estándar),144,30.05 (9.96),34.22 (2.79),35.25 (1.73)

